time	Freq	W	B2	B1
2022-04-20, 15:43:32	1500 Hz	16 W	3,2E-5 mbar	2E-4 mbar
2022-04-20, 15:43:34	1500 Hz	16 W	3,7E-5 mbar	2,5E-4 mbar
2022-04-20, 15:43:36	1500 Hz	15 W	4E-5 mbar	3E-4 mbar
2022-04-20, 15:43:38	1500 Hz	15 W	4,9E-5 mbar	3E-4 mbar
2022-04-20, 15:43:40	1500 Hz	16 W	5,6E-5 mbar	3,5E-4 mbar
2022-04-20, 15:43:42	1500 Hz	15 W	6,1E-5 mbar	4E-4 mbar
2022-04-20, 15:43:44	1500 Hz	16 W	6,5E-5 mbar	4E-4 mbar
2022-04-20, 15:43:46	1500 Hz	15 W	6,9E-5 mbar	5E-4 mbar
2022-04-20, 15:43:48	1500 Hz	15 W	7,5E-5 mbar	5E-4 mbar
2022-04-20, 15:43:50	1500 Hz	15 W	8E-5 mbar	5E-4 mbar
2022-04-20, 15:43:52	1500 Hz	15 W	8,5E-5 mbar	6E-4 mbar
2022-04-20, 15:43:54	1500 Hz	15 W	9E-5 mbar	6E-4 mbar
2022-04-20, 15:43:56	1500 Hz	16 W	9,3E-5 mbar	6E-4 mbar
2022-04-20, 15:43:58	1500 Hz	15 W	9,8E-5 mbar	6,5E-4 mbar
2022-04-20, 15:44:00	1500 Hz	15 W	1E-4 mbar	7E-4 mbar
2022-04-20, 15:44:02	1500 Hz	15 W	1,1E-4 mbar	8E-4 mbar
2022-04-20, 15:44:04	1500 Hz	15 W	1,1E-4 mbar	8E-4 mbar
2022-04-20, 15:44:06	1500 Hz	16 W	1,2E-4 mbar	8E-4 mbar
2022-04-20, 15:44:08	1500 Hz	16 W	1,3E-4 mbar	9E-4 mbar
2022-04-20, 15:44:10	1500 Hz	15 W	1,3E-4 mbar	9E-4 mbar
2022-04-20, 15:44:12	1500 Hz	15 W	1,4E-4 mbar	9,5E-4 mbar
2022-04-20, 15:44:14	1500 Hz	15 W	1,5E-4 mbar	1E-3 mbar
2022-04-20, 15:44:16	1500 Hz	15 W	1,5E-4 mbar	1E-3 mbar
2022-04-20, 15:44:18	1500 Hz	16 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-20, 15:44:20	1500 Hz	15 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-20, 15:44:22	1500 Hz	16 W	1,1E-3 mbar	1,2E-3 mbar
2022-04-20, 15:44:24	1500 Hz	15 W	1,1E-3 mbar	1,2E-3 mbar
2022-04-20, 15:44:26	1500 Hz	15 W	1,1E-3 mbar	1,2E-3 mbar
2022-04-20, 15:44:28	1500 Hz	15 W	1,2E-3 mbar	1,3E-3 mbar
2022-04-20, 15:44:30	1500 Hz	15 W	1,2E-3 mbar	1,3E-3 mbar
2022-04-20, 15:44:32	1500 Hz	16 W	1,3E-3 mbar	1,4E-3 mbar
2022-04-20, 15:44:34	1500 Hz	16 W	1,3E-3 mbar	1,4E-3 mbar
