time	Freq	W	B2	B1
2022-04-20, 15:31:48	1500 Hz	16 W	6,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:31:50	1500 Hz	16 W	6,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:31:52	1500 Hz	15 W	6,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:31:54	1500 Hz	15 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:31:56	1500 Hz	15 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:31:58	1500 Hz	15 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:00	1500 Hz	16 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:02	1500 Hz	16 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:04	1500 Hz	16 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:06	1500 Hz	15 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:08	1500 Hz	15 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:10	1500 Hz	15 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:12	1500 Hz	15 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:14	1500 Hz	16 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:16	1500 Hz	16 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:18	1500 Hz	15 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:20	1500 Hz	15 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:22	1500 Hz	15 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:24	1500 Hz	16 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:26	1500 Hz	16 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:28	1500 Hz	15 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:30	1500 Hz	15 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:32	1500 Hz	15 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:34	1500 Hz	15 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:36	1500 Hz	16 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:38	1500 Hz	16 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:40	1500 Hz	16 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:42	1500 Hz	15 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:44	1500 Hz	15 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:46	1500 Hz	15 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:48	1500 Hz	15 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:50	1500 Hz	16 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:52	1500 Hz	16 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:54	1500 Hz	16 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:56	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:32:58	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:00	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:02	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:04	1500 Hz	16 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:06	1500 Hz	16 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:08	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:10	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:12	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:14	1500 Hz	16 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:16	1500 Hz	16 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:18	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:20	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:22	1500 Hz	16 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:24	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:26	1500 Hz	16 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:28	1500 Hz	16 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:30	1500 Hz	16 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:32	1500 Hz	15 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:34	1500 Hz	15 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:36	1500 Hz	15 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:38	1500 Hz	15 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:40	1500 Hz	16 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:42	1500 Hz	16 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:44	1500 Hz	16 W	6E-6 mbar	1,5E-4 mbar
