time	Freq	W	B2	B1
2022-04-20, 15:37:44	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:37:46	1500 Hz	15 W	3,5E-5 mbar	2E-4 mbar
2022-04-20, 15:37:48	1500 Hz	15 W	3,9E-5 mbar	2,5E-4 mbar
2022-04-20, 15:37:50	1500 Hz	15 W	4,6E-5 mbar	3E-4 mbar
2022-04-20, 15:37:52	1500 Hz	16 W	5,1E-5 mbar	3E-4 mbar
2022-04-20, 15:37:54	1500 Hz	15 W	5,8E-5 mbar	3E-4 mbar
2022-04-20, 15:37:56	1500 Hz	15 W	6,3E-5 mbar	3,5E-4 mbar
2022-04-20, 15:37:58	1500 Hz	15 W	6,7E-5 mbar	4,5E-4 mbar
2022-04-20, 15:38:00	1500 Hz	15 W	6,9E-5 mbar	5E-4 mbar
2022-04-20, 15:38:02	1500 Hz	15 W	7,7E-5 mbar	5E-4 mbar
2022-04-20, 15:38:04	1500 Hz	15 W	8,2E-5 mbar	5E-4 mbar
2022-04-20, 15:38:06	1500 Hz	16 W	8,6E-5 mbar	5,5E-4 mbar
2022-04-20, 15:38:08	1500 Hz	15 W	9,1E-5 mbar	6E-4 mbar
2022-04-20, 15:38:10	1500 Hz	15 W	9,5E-5 mbar	6,5E-4 mbar
2022-04-20, 15:38:12	1500 Hz	15 W	9,8E-5 mbar	7E-4 mbar
2022-04-20, 15:38:14	1500 Hz	15 W	1E-4 mbar	7E-4 mbar
2022-04-20, 15:38:16	1500 Hz	16 W	1,1E-4 mbar	7,5E-4 mbar
2022-04-20, 15:38:18	1500 Hz	16 W	1,2E-4 mbar	8E-4 mbar
2022-04-20, 15:38:20	1500 Hz	16 W	1,2E-4 mbar	8E-4 mbar
2022-04-20, 15:38:22	1500 Hz	15 W	1,3E-4 mbar	9E-4 mbar
2022-04-20, 15:38:24	1500 Hz	15 W	1,4E-4 mbar	9E-4 mbar
2022-04-20, 15:38:26	1500 Hz	15 W	1,4E-4 mbar	9,5E-4 mbar
2022-04-20, 15:38:28	1500 Hz	16 W	1,5E-4 mbar	1E-3 mbar
2022-04-20, 15:38:30	1500 Hz	16 W	1,5E-4 mbar	1E-3 mbar
2022-04-20, 15:38:32	1500 Hz	15 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-20, 15:38:34	1500 Hz	15 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-20, 15:38:36	1500 Hz	15 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-20, 15:38:38	1500 Hz	15 W	1,1E-3 mbar	1,2E-3 mbar
