time	Freq	W	B2	B1
2022-04-20, 15:15:42	69 Hz	28 W	3,7E0 mbar	3,4E0 mbar
2022-04-20, 15:15:44	96 Hz	34 W	3,5E0 mbar	3,3E0 mbar
2022-04-20, 15:15:46	120 Hz	37 W	3,4E0 mbar	3,1E0 mbar
2022-04-20, 15:15:48	155 Hz	39 W	3,2E0 mbar	2,9E0 mbar
2022-04-20, 15:15:50	182 Hz	42 W	2,9E0 mbar	2,6E0 mbar
2022-04-20, 15:15:52	207 Hz	44 W	2,6E0 mbar	2,3E0 mbar
2022-04-20, 15:15:54	243 Hz	47 W	2,3E0 mbar	1,9E0 mbar
2022-04-20, 15:15:56	271 Hz	49 W	1,8E0 mbar	1,6E0 mbar
2022-04-20, 15:15:58	301 Hz	52 W	1,5E0 mbar	1,4E0 mbar
2022-04-20, 15:16:00	327 Hz	54 W	1,2E0 mbar	9,7E-1 mbar
2022-04-20, 15:16:02	360 Hz	56 W	8E-1 mbar	6,9E-1 mbar
2022-04-20, 15:16:04	385 Hz	58 W	4E-1 mbar	3,4E-1 mbar
2022-04-20, 15:16:06	411 Hz	61 W	1E-1 mbar	1E-1 mbar
2022-04-20, 15:16:08	442 Hz	63 W	1,9E-2 mbar	1E-2 mbar
2022-04-20, 15:16:10	474 Hz	66 W	4,3E-3 mbar	3,3E-3 mbar
2022-04-20, 15:16:12	498 Hz	68 W	2,2E-3 mbar	1,8E-3 mbar
2022-04-20, 15:16:14	536 Hz	71 W	1,6E-3 mbar	1,1E-3 mbar
2022-04-20, 15:16:16	573 Hz	74 W	1,1E-3 mbar	9,5E-4 mbar
2022-04-20, 15:16:18	602 Hz	77 W	1E-3 mbar	8E-4 mbar
2022-04-20, 15:16:20	626 Hz	79 W	1,5E-4 mbar	7,5E-4 mbar
2022-04-20, 15:16:22	662 Hz	82 W	1,3E-4 mbar	6E-4 mbar
2022-04-20, 15:16:24	690 Hz	84 W	1E-4 mbar	5E-4 mbar
2022-04-20, 15:16:26	727 Hz	86 W	9,5E-5 mbar	5E-4 mbar
2022-04-20, 15:16:28	754 Hz	88 W	8,9E-5 mbar	5E-4 mbar
2022-04-20, 15:16:30	781 Hz	88 W	8,1E-5 mbar	4,5E-4 mbar
2022-04-20, 15:16:32	815 Hz	88 W	7,5E-5 mbar	4E-4 mbar
2022-04-20, 15:16:34	841 Hz	88 W	7E-5 mbar	4E-4 mbar
2022-04-20, 15:16:36	870 Hz	88 W	6,7E-5 mbar	3,5E-4 mbar
2022-04-20, 15:16:38	896 Hz	88 W	6,4E-5 mbar	3,5E-4 mbar
2022-04-20, 15:16:40	927 Hz	88 W	6,1E-5 mbar	3,5E-4 mbar
2022-04-20, 15:16:42	951 Hz	88 W	5,9E-5 mbar	3E-4 mbar
2022-04-20, 15:16:44	977 Hz	88 W	5,7E-5 mbar	3E-4 mbar
2022-04-20, 15:16:46	1004 Hz	88 W	5,4E-5 mbar	3E-4 mbar
2022-04-20, 15:16:48	1023 Hz	88 W	5,3E-5 mbar	3E-4 mbar
2022-04-20, 15:16:50	1052 Hz	88 W	5,1E-5 mbar	3E-4 mbar
2022-04-20, 15:16:52	1074 Hz	88 W	4,9E-5 mbar	3E-4 mbar
2022-04-20, 15:16:54	1102 Hz	88 W	4,7E-5 mbar	3E-4 mbar
2022-04-20, 15:16:56	1120 Hz	88 W	4,5E-5 mbar	3E-4 mbar
2022-04-20, 15:16:58	1147 Hz	88 W	4,3E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:00	1167 Hz	88 W	4,1E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:02	1187 Hz	88 W	4E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:04	1213 Hz	87 W	3,9E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:06	1232 Hz	88 W	3,8E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:08	1249 Hz	88 W	3,8E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:10	1273 Hz	87 W	3,7E-5 mbar	2,5E-4 mbar
2022-04-20, 15:17:12	1297 Hz	88 W	3,6E-5 mbar	2E-4 mbar
2022-04-20, 15:17:14	1316 Hz	88 W	3,5E-5 mbar	2E-4 mbar
2022-04-20, 15:17:16	1331 Hz	88 W	3,5E-5 mbar	2E-4 mbar
2022-04-20, 15:17:18	1357 Hz	87 W	3,4E-5 mbar	2E-4 mbar
2022-04-20, 15:17:20	1372 Hz	87 W	3,4E-5 mbar	2E-4 mbar
2022-04-20, 15:17:22	1389 Hz	88 W	3,3E-5 mbar	2E-4 mbar
2022-04-20, 15:17:24	1411 Hz	88 W	3,3E-5 mbar	2E-4 mbar
2022-04-20, 15:17:26	1430 Hz	88 W	3,2E-5 mbar	2E-4 mbar
2022-04-20, 15:17:28	1449 Hz	88 W	3,1E-5 mbar	2E-4 mbar
2022-04-20, 15:17:30	1463 Hz	87 W	3,1E-5 mbar	2E-4 mbar
2022-04-20, 15:17:32	1481 Hz	56 W	3E-5 mbar	2E-4 mbar
2022-04-20, 15:17:34	1491 Hz	56 W	3E-5 mbar	2E-4 mbar
2022-04-20, 15:17:36	1501 Hz	42 W	2,9E-5 mbar	2E-4 mbar
2022-04-20, 15:17:38	1503 Hz	3 W	2,9E-5 mbar	2E-4 mbar
2022-04-20, 15:17:40	1500 Hz	8 W	2,8E-5 mbar	2E-4 mbar
2022-04-20, 15:17:42	1499 Hz	18 W	2,8E-5 mbar	2E-4 mbar
2022-04-20, 15:17:44	1500 Hz	17 W	2,7E-5 mbar	2E-4 mbar
2022-04-20, 15:17:46	1500 Hz	14 W	2,7E-5 mbar	2E-4 mbar
2022-04-20, 15:17:48	1500 Hz	14 W	2,7E-5 mbar	2E-4 mbar
2022-04-20, 15:17:50	1500 Hz	15 W	2,6E-5 mbar	2E-4 mbar
2022-04-20, 15:17:52	1500 Hz	15 W	2,6E-5 mbar	2E-4 mbar
2022-04-20, 15:17:54	1500 Hz	14 W	2,5E-5 mbar	2E-4 mbar
2022-04-20, 15:17:56	1500 Hz	14 W	2,5E-5 mbar	2E-4 mbar
2022-04-20, 15:17:58	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-20, 15:18:00	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-20, 15:18:02	1500 Hz	15 W	2,6E-5 mbar	2E-4 mbar
2022-04-20, 15:18:04	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-20, 15:18:06	1500 Hz	14 W	2,5E-5 mbar	2E-4 mbar
2022-04-20, 15:18:08	1500 Hz	14 W	2,4E-5 mbar	2E-4 mbar
2022-04-20, 15:18:10	1500 Hz	14 W	2,4E-5 mbar	2E-4 mbar
2022-04-20, 15:18:12	1500 Hz	15 W	2,4E-5 mbar	2E-4 mbar
2022-04-20, 15:18:14	1500 Hz	15 W	2,3E-5 mbar	2E-4 mbar
2022-04-20, 15:18:16	1500 Hz	15 W	2,3E-5 mbar	2E-4 mbar
2022-04-20, 15:18:18	1500 Hz	15 W	2,2E-5 mbar	2E-4 mbar
2022-04-20, 15:18:20	1500 Hz	15 W	2,2E-5 mbar	2E-4 mbar
2022-04-20, 15:18:22	1500 Hz	15 W	2,2E-5 mbar	2E-4 mbar
2022-04-20, 15:18:24	1500 Hz	15 W	2,1E-5 mbar	2E-4 mbar
2022-04-20, 15:18:26	1500 Hz	15 W	2,1E-5 mbar	2E-4 mbar
2022-04-20, 15:18:28	1500 Hz	15 W	2,1E-5 mbar	2E-4 mbar
2022-04-20, 15:18:30	1500 Hz	14 W	2E-5 mbar	2E-4 mbar
2022-04-20, 15:18:32	1500 Hz	15 W	2E-5 mbar	2E-4 mbar
2022-04-20, 15:18:34	1500 Hz	14 W	2E-5 mbar	2E-4 mbar
2022-04-20, 15:18:36	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:38	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:40	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:42	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:44	1500 Hz	14 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:46	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:48	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:18:50	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:18:52	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:18:54	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:18:56	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:18:58	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:19:00	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:19:02	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:19:04	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:19:06	1500 Hz	15 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:08	1500 Hz	14 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:10	1500 Hz	15 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:12	1500 Hz	15 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:14	1500 Hz	15 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:16	1500 Hz	15 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:18	1500 Hz	15 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:20	1500 Hz	14 W	1,7E-5 mbar	2E-4 mbar
2022-04-20, 15:19:22	1500 Hz	15 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:19:24	1500 Hz	14 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:19:26	1500 Hz	15 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:19:28	1500 Hz	15 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:19:30	1500 Hz	15 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:19:32	1500 Hz	15 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:19:34	1500 Hz	14 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-20, 15:19:36	1500 Hz	15 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-20, 15:19:38	1500 Hz	15 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-20, 15:19:40	1500 Hz	15 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-20, 15:19:42	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:44	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:46	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:48	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:50	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:52	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:54	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:56	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:19:58	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:20:00	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:20:02	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:20:04	1500 Hz	15 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:20:06	1500 Hz	15 W	1,4E-5 mbar	2E-4 mbar
2022-04-20, 15:20:08	1500 Hz	15 W	1,4E-5 mbar	2E-4 mbar
2022-04-20, 15:20:10	1500 Hz	15 W	1,4E-5 mbar	2E-4 mbar
2022-04-20, 15:20:12	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:14	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:16	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:18	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:20	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:22	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:24	1500 Hz	14 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:26	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:28	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:30	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:32	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:34	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:36	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:38	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:40	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:42	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:44	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:46	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:48	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:50	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:52	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:54	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:56	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:20:58	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:00	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:02	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:04	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:06	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:08	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:10	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:12	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:14	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:16	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:18	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:20	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:22	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:24	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:26	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:28	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:30	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:32	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:34	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:36	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:38	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:40	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:42	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:44	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:46	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:48	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:50	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:52	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:54	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:56	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:21:58	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:00	1500 Hz	16 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:02	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:04	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:06	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:08	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:10	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:12	1500 Hz	16 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:14	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:16	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:18	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:20	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:22	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:24	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:26	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:28	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:30	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:32	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:34	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:36	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:38	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:40	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:42	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:44	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:46	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:48	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:50	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:52	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:54	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:56	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:22:58	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:23:00	1500 Hz	15 W	9,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:02	1500 Hz	16 W	9,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:04	1500 Hz	15 W	9,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:06	1500 Hz	15 W	9,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:08	1500 Hz	15 W	9,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:10	1500 Hz	15 W	9,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:12	1500 Hz	15 W	9,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:14	1500 Hz	16 W	9,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:16	1500 Hz	16 W	9,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:18	1500 Hz	15 W	9,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:20	1500 Hz	15 W	9,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:22	1500 Hz	15 W	9,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:24	1500 Hz	15 W	9,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:26	1500 Hz	15 W	9,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:28	1500 Hz	16 W	9,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:30	1500 Hz	15 W	9,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:32	1500 Hz	15 W	9,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:34	1500 Hz	15 W	9,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:36	1500 Hz	15 W	9,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:38	1500 Hz	16 W	9,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:40	1500 Hz	16 W	9,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:42	1500 Hz	16 W	9,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:44	1500 Hz	15 W	9,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:46	1500 Hz	15 W	9,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:48	1500 Hz	15 W	9,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:50	1500 Hz	15 W	9,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:52	1500 Hz	16 W	9,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:54	1500 Hz	16 W	9,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:23:56	1500 Hz	15 W	9,2E-6 mbar	1,5E-4 mbar
