t (s),V (mV)
0,20.8742
0.998,20.8552
1.999,20.8353
2.999,20.8122
3.999,20.7864
4.999,20.7608
5.998,20.7331
6.999,20.7062
7.998,20.677
8.999,20.6486
9.998,20.6185
10.999,20.589
11.999,20.5589
12.998,20.5291
13.999,20.498
14.999,20.4676
15.999,20.4358
16.999,20.4053
17.998,20.3736
18.999,20.3421
19.999,20.3109
20.999,20.2794
21.999,20.2477
22.999,20.2159
23.998,20.1838
24.999,20.151
25.999,20.1205
26.999,20.0884
27.999,20.0568
28.999,20.0254
29.999,19.9926
30.998,19.9613
31.999,19.9295
32.999,19.8972
33.999,19.8656
34.999,19.8335
35.998,19.802
36.999,19.7703
37.999,19.7382
38.999,19.7068
39.999,19.6748
40.998,19.6435
41.999,19.6124
42.999,19.5808
43.999,19.5483
44.998,19.5178
45.999,19.4852
46.999,19.4524
47.999,19.4227
48.999,19.3896
49.998,19.3575
50.999,19.325
51.998,19.2934
52.999,19.2634
53.999,19.2333
54.999,19.2057
55.999,19.1752
56.999,19.1445
57.999,19.1133
58.999,19.0831
59.999,19.0526
60.999,19.0214
61.999,18.9919
62.999,18.9603
63.998,18.9294
64.999,18.8997
65.998,18.8695
66.999,18.8394
67.999,18.809
68.999,18.779
69.998,18.7492
70.999,18.7191
71.998,18.6892
72.999,18.6591
73.998,18.6295
74.999,18.6001
75.998,18.5702
76.999,18.5411
77.999,18.5117
78.999,18.4817
79.998,18.4531
80.999,18.4234
81.998,18.394
82.999,18.3652
83.998,18.335
84.999,18.306
85.998,18.2768
86.999,18.2474
87.998,18.2184
88.999,18.189
89.999,18.1607
90.998,18.1324
91.999,18.1026
92.998,18.0745
93.999,18.0446
94.998,18.0159
95.999,17.9863
96.998,17.9589
97.999,17.929
98.998,17.9015
99.999,17.8726
100.998,17.8436
101.999,17.8147
102.999,17.7868
103.998,17.7585
104.999,17.7305
105.999,17.7015
106.999,17.674
107.998,17.6459
108.999,17.6173
109.998,17.59
110.999,17.5625
111.999,17.5348
112.999,17.5074
113.999,17.4802
114.999,17.4525
115.999,17.4247
116.998,17.397
117.999,17.3696
118.999,17.3416
119.999,17.3161
120.998,17.2879
121.999,17.2615
122.999,17.2341
123.999,17.2069
124.999,17.1802
125.998,17.1532
126.999,17.1269
127.998,17.1004
128.999,17.073
129.998,17.0465
130.999,17.0206
131.999,16.9921
132.998,16.9664
133.999,16.9396
134.998,16.9131
135.999,16.8873
136.999,16.8604
137.999,16.8345
138.999,16.808
139.998,16.7819
140.999,16.7556
141.998,16.7304
142.999,16.7041
143.998,16.6783
144.999,16.6526
145.999,16.6263
146.998,16.6007
147.999,16.5745
148.998,16.5491
149.999,16.5226
150.998,16.4973
151.999,16.4717
152.999,16.4466
153.998,16.4209
154.998,16.3959
155.999,16.3698
156.998,16.3442
157.999,16.3189
158.999,16.2938
159.998,16.2693
160.999,16.2435
161.999,16.2195
162.999,16.1935
163.998,16.1684
164.999,16.1436
165.998,16.1185
166.999,16.0934
167.998,16.0693
168.998,16.0437
169.999,16.0189
170.999,15.9935
171.998,15.9695
172.999,15.9449
173.998,15.9208
174.999,15.8964
175.999,15.8714
176.998,15.8464
177.999,15.823
178.998,15.7984
179.999,15.773
180.999,15.7493
181.998,15.7243
182.999,15.7004
183.999,15.676
184.998,15.6523
185.999,15.6282
186.999,15.6042
187.998,15.5804
188.999,15.5567
189.999,15.5321
190.999,15.5082
191.998,15.4845
192.999,15.4607
193.998,15.4371
194.999,15.4127
195.999,15.3873
196.998,15.3631
197.998,15.34
198.999,15.3159
199.998,15.2928
200.999,15.2688
201.999,15.2454
202.998,15.222
203.999,15.198
204.999,15.1747
205.998,15.1516
206.999,15.1281
207.999,15.1047
208.998,15.0815
209.999,15.0585
210.999,15.0353
211.999,15.0125
212.998,14.9892
213.999,14.9667
214.999,14.9436
215.999,14.9211
216.998,14.8982
217.998,14.8756
218.998,14.8538
219.999,14.8315
220.999,14.8085
221.998,14.7862
222.999,14.7641
223.998,14.7413
224.999,14.7192
225.999,14.6965
226.999,14.6746
227.998,14.6519
228.998,14.6296
229.999,14.608
230.999,14.5863
231.999,14.5639
232.998,14.5418
233.999,14.5178
234.999,14.4998
235.999,14.4765
236.998,14.4535
237.999,14.4324
238.999,14.4106
239.998,14.3872
240.998,14.3655
241.999,14.3449
242.999,14.3241
243.999,14.3009
244.999,14.2805
245.998,14.2582
246.999,14.2335
247.999,14.2138
248.998,14.1915
249.999,14.1708
250.999,14.1465
251.999,14.1269
252.998,14.1027
253.998,14.0836
254.999,14.063
255.999,14.0415
256.998,14.0197
257.998,13.9726
258.998,13.9671
259.999,13.9557
260.999,13.9278
261.999,13.9112
262.999,13.8914
263.999,13.8716
264.998,13.8519
265.999,13.8221
266.999,13.7886
267.999,13.7699
268.998,13.7469
269.998,13.7298
270.998,13.7083
271.999,13.686
272.999,13.6664
273.998,13.6446
274.998,13.6045
275.999,13.5988
276.999,13.5744
277.998,13.5577
278.998,13.5358
279.999,13.5111
280.999,13.4976
281.999,13.4791
282.999,13.4592
283.999,13.436
284.999,13.414
285.998,13.3955
286.999,13.3748
287.999,13.3541
288.999,13.3327
289.999,13.3125
290.999,13.2911
291.998,13.2698
292.998,13.25
293.999,13.2302
294.999,13.1975
295.999,13.1878
296.999,13.1685
297.998,13.1461
298.999,13.1256
299.998,13.1074
300.998,13.0794
301.999,13.0626
302.999,13.0445
303.999,13.0262
304.999,13.0057
305.999,12.9854
306.999,12.9645
307.999,12.9449
308.999,12.9244
309.999,12.9061
310.999,12.8843
311.999,12.8648
312.999,12.8447
313.999,12.8248
314.999,12.8055
315.998,12.7853
316.998,12.7648
317.998,12.745
318.999,12.7255
319.999,12.7047
320.999,12.6866
321.999,12.6649
322.999,12.6478
