t (s),V (mV)
323.999,12.6276
324.999,12.6075
325.999,12.588
326.999,12.5682
327.999,12.5484
328.999,12.5294
329.999,12.5103
330.999,12.4905
331.999,12.4725
332.999,12.454
333.999,12.4333
334.999,12.4159
335.999,12.3979
336.999,12.3769
337.999,12.3614
338.999,12.3409
339.999,12.3216
340.999,12.3024
341.998,12.2822
342.999,12.2632
343.999,12.2443
344.999,12.2264
345.999,12.2062
346.998,12.1882
347.998,12.1702
348.998,12.1502
349.998,12.1305
350.999,12.1151
351.999,12.0945
352.999,12.078
353.999,12.0589
354.999,12.0402
355.998,12.0201
356.999,12.0006
357.999,11.9808
358.999,11.964
359.999,11.9444
360.998,11.9257
361.999,11.907
362.999,11.8907
363.999,11.8707
364.999,11.8551
365.999,11.8362
366.998,11.8168
367.998,11.8004
368.998,11.7817
369.998,11.7636
370.999,11.7458
371.998,11.7282
372.998,11.7123
373.998,11.6927
374.999,11.6756
375.999,11.6582
376.998,11.6397
377.999,11.6228
378.999,11.6048
379.999,11.5885
380.998,11.5722
381.999,11.5517
382.998,11.5346
383.999,11.5182
384.998,11.5
385.999,11.4812
386.998,11.4641
387.999,11.4497
388.998,11.4082
389.999,11.4192
390.999,11.4065
391.998,11.3837
392.999,11.3599
393.999,11.342
394.999,11.3237
395.998,11.306
396.999,11.2897
397.998,11.2733
398.999,11.2538
399.998,11.2381
400.999,11.2205
401.998,11.2022
402.998,11.1856
403.999,11.1678
404.999,11.1505
405.998,11.1333
406.999,11.1197
407.999,11.1015
408.999,11.082
409.999,11.0672
410.998,11.0478
411.998,11.03
412.999,11.0129
413.999,10.999
414.999,10.9836
415.999,10.9653
416.998,10.9463
417.999,10.93
418.999,10.9121
419.998,10.8962
420.999,10.8797
421.999,10.8641
422.999,10.8475
423.998,10.8308
424.999,10.8122
425.999,10.7963
426.998,10.7858
427.999,10.7628
428.999,10.7459
429.999,10.7296
430.998,10.7115
431.998,10.6955
432.999,10.679
433.999,10.6625
434.999,10.6481
435.998,10.6342
436.999,10.6193
437.998,10.5984
438.998,10.5813
439.997,10.5658
440.998,10.5502
441.997,10.5334
442.998,10.5171
443.997,10.507
444.998,10.492
445.997,10.4715
446.998,10.4532
447.997,10.4381
448.997,10.4239
449.998,10.4039
450.997,10.3889
451.998,10.3731
452.998,10.3563
453.998,10.342
454.998,10.3256
455.997,10.3107
456.998,10.2935
457.997,10.2782
458.997,10.2622
459.998,10.247
460.997,10.2321
461.998,10.2182
462.998,10.2172
463.997,10.1997
464.998,10.1735
465.997,10.1558
466.998,10.1415
467.997,10.1273
468.998,10.1094
469.997,10.096
470.998,10.0799
471.998,10.0633
472.997,10.0509
473.997,10.0346
474.998,10.0178
475.998,10.0026
476.998,9.9855
477.999,9.971
478.999,9.9554
479.998,9.9397
480.999,9.9235
