time	Freq	W	B2	B1
2022-04-20, 14:51:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-20, 14:51:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-20, 14:51:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-20, 14:51:54	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-20, 14:51:56	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-20, 14:51:58	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-20, 14:52:00	0 Hz	0 W	4,1E0 mbar	3,7E0 mbar
2022-04-20, 14:52:02	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 14:52:04	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 14:52:06	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 14:52:08	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 14:52:10	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 14:52:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 14:52:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 14:52:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 14:52:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 14:52:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 14:52:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 14:52:24	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:26	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:28	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:30	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:32	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:34	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:36	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:38	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:40	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:42	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 14:52:44	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
