time	Freq	W	B2	B1

2022-04-20, 15:40:22	1500 Hz	16 W	1E-3 mbar	3,5E-4 mbar
2022-04-20, 15:40:24	1500 Hz	16 W	1E-3 mbar	3E-4 mbar
2022-04-20, 15:40:26	1500 Hz	15 W	2,1E-5 mbar	2,5E-4 mbar
2022-04-20, 15:40:28	1500 Hz	15 W	1,7E-5 mbar	2,5E-4 mbar
2022-04-20, 15:40:30	1500 Hz	15 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:40:32	1500 Hz	15 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:34	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:36	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:38	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:40	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:42	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:44	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:40:46	1500 Hz	16 W	9,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:40:48	1500 Hz	16 W	9,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:40:50	1500 Hz	15 W	9,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:40:52	1500 Hz	15 W	9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:40:54	1500 Hz	15 W	8,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:40:56	1500 Hz	15 W	8,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:40:58	1500 Hz	15 W	8,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:00	1500 Hz	16 W	8,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:02	1500 Hz	16 W	8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:04	1500 Hz	15 W	7,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:06	1500 Hz	15 W	7,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:08	1500 Hz	15 W	7,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:10	1500 Hz	15 W	7,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:12	1500 Hz	15 W	7,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:14	1500 Hz	16 W	7,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:16	1500 Hz	15 W	7,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:18	1500 Hz	15 W	7,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:20	1500 Hz	15 W	7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:22	1500 Hz	15 W	6,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:24	1500 Hz	15 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:26	1500 Hz	16 W	6,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:28	1500 Hz	15 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:30	1500 Hz	15 W	6,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:32	1500 Hz	15 W	6,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:34	1500 Hz	15 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:36	1500 Hz	16 W	6,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:38	1500 Hz	15 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:40	1500 Hz	15 W	6,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:42	1500 Hz	16 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:44	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:46	1500 Hz	15 W	6,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:48	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:50	1500 Hz	16 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:52	1500 Hz	15 W	6,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:54	1500 Hz	15 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:56	1500 Hz	15 W	6,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:41:58	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:00	1500 Hz	16 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:02	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:04	1500 Hz	16 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:06	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:08	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:10	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:12	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:14	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:16	1500 Hz	16 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:18	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:20	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:22	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:24	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:26	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:28	1500 Hz	16 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:30	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:32	1500 Hz	16 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:34	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:36	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:38	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:40	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:42	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:44	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:46	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:48	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:50	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:52	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:54	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:56	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:42:58	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:00	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:02	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:04	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:06	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:08	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:10	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:43:12	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
