time	Freq	W	B2	B1
2022-04-20, 14:23:16	0 Hz	0 W	1,1E2 mbar	6,6E1 mbar
2022-04-20, 14:23:18	0 Hz	0 W	1,1E2 mbar	6,6E1 mbar
2022-04-20, 14:23:20	0 Hz	0 W	9,3E1 mbar	6E1 mbar
2022-04-20, 14:23:22	0 Hz	0 W	7,5E1 mbar	5,2E1 mbar
2022-04-20, 14:23:24	0 Hz	0 W	6,6E1 mbar	4,3E1 mbar
2022-04-20, 14:23:26	0 Hz	0 W	5,8E1 mbar	3,8E1 mbar
2022-04-20, 14:23:28	0 Hz	0 W	4,9E1 mbar	3,5E1 mbar
2022-04-20, 14:23:30	0 Hz	0 W	3,9E1 mbar	3,2E1 mbar
2022-04-20, 14:23:32	0 Hz	0 W	3,6E1 mbar	2,9E1 mbar
2022-04-20, 14:23:34	0 Hz	0 W	3,3E1 mbar	2,5E1 mbar
2022-04-20, 14:23:36	0 Hz	0 W	2,9E1 mbar	2,1E1 mbar
2022-04-20, 14:23:38	0 Hz	0 W	2,5E1 mbar	1,9E1 mbar
2022-04-20, 14:23:40	0 Hz	0 W	2,1E1 mbar	1,8E1 mbar
2022-04-20, 14:23:42	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2022-04-20, 14:23:44	0 Hz	0 W	1,7E1 mbar	1,5E1 mbar
2022-04-20, 14:23:46	0 Hz	0 W	1,6E1 mbar	1,3E1 mbar
2022-04-20, 14:23:48	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2022-04-20, 14:23:50	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2022-04-20, 14:23:52	0 Hz	0 W	1,2E1 mbar	1E1 mbar
2022-04-20, 14:23:54	0 Hz	0 W	1,1E1 mbar	9,4E0 mbar
2022-04-20, 14:23:56	0 Hz	0 W	1E1 mbar	8,9E0 mbar
2022-04-20, 14:23:58	0 Hz	0 W	9,6E0 mbar	8,4E0 mbar
2022-04-20, 14:24:00	0 Hz	0 W	9,1E0 mbar	8E0 mbar
2022-04-20, 14:24:02	0 Hz	0 W	8,7E0 mbar	7,6E0 mbar
2022-04-20, 14:24:04	0 Hz	0 W	8,5E0 mbar	7,1E0 mbar
2022-04-20, 14:24:06	0 Hz	0 W	8E0 mbar	6,9E0 mbar
2022-04-20, 14:24:08	0 Hz	0 W	7,6E0 mbar	6,7E0 mbar
2022-04-20, 14:24:10	0 Hz	0 W	7,2E0 mbar	6,6E0 mbar
2022-04-20, 14:24:12	0 Hz	0 W	6,9E0 mbar	6,4E0 mbar
2022-04-20, 14:24:14	0 Hz	0 W	6,8E0 mbar	6,2E0 mbar
2022-04-20, 14:24:16	0 Hz	0 W	6,7E0 mbar	6,1E0 mbar
2022-04-20, 14:24:18	0 Hz	0 W	6,5E0 mbar	6E0 mbar
2022-04-20, 14:24:20	0 Hz	0 W	6,4E0 mbar	5,8E0 mbar
2022-04-20, 14:24:22	0 Hz	0 W	6,2E0 mbar	5,7E0 mbar
2022-04-20, 14:24:24	0 Hz	0 W	6,1E0 mbar	5,6E0 mbar
2022-04-20, 14:24:26	0 Hz	0 W	6E0 mbar	5,5E0 mbar
2022-04-20, 14:24:28	0 Hz	0 W	6E0 mbar	5,4E0 mbar
2022-04-20, 14:24:30	0 Hz	0 W	5,9E0 mbar	5,3E0 mbar
2022-04-20, 14:24:32	0 Hz	0 W	5,8E0 mbar	5,2E0 mbar
2022-04-20, 14:24:34	0 Hz	0 W	5,7E0 mbar	5,1E0 mbar
2022-04-20, 14:24:36	0 Hz	0 W	5,6E0 mbar	5E0 mbar
2022-04-20, 14:24:38	0 Hz	0 W	5,5E0 mbar	5E0 mbar
2022-04-20, 14:24:40	0 Hz	0 W	5,5E0 mbar	4,9E0 mbar
2022-04-20, 14:24:42	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2022-04-20, 14:24:44	0 Hz	0 W	5,3E0 mbar	4,8E0 mbar
2022-04-20, 14:24:46	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-20, 14:24:48	0 Hz	0 W	5,2E0 mbar	4,7E0 mbar
2022-04-20, 14:24:50	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-04-20, 14:24:52	0 Hz	0 W	5,1E0 mbar	4,6E0 mbar
2022-04-20, 14:24:54	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-20, 14:24:56	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-20, 14:24:58	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-20, 14:25:00	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-20, 14:25:02	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-20, 14:25:04	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-20, 14:25:06	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-20, 14:25:08	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-20, 14:25:10	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-20, 14:25:12	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-20, 14:25:14	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-20, 14:25:16	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-20, 14:25:18	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-20, 14:25:20	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-20, 14:25:22	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-20, 14:25:24	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-20, 14:25:26	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-20, 14:25:28	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-20, 14:25:30	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-20, 14:25:32	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-20, 14:25:34	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-20, 14:25:36	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
