time	Freq	W	B2	B1
2022-04-20, 14:59:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:59:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:59:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:59:18	0 Hz	0 W	1E3 mbar	7E2 mbar
2022-04-20, 14:59:20	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-20, 14:59:22	0 Hz	0 W	1E3 mbar	3,7E2 mbar
2022-04-20, 14:59:24	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2022-04-20, 14:59:26	0 Hz	0 W	1E3 mbar	2,4E2 mbar
2022-04-20, 14:59:28	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-04-20, 14:59:30	0 Hz	0 W	6,8E2 mbar	1,6E2 mbar
2022-04-20, 14:59:32	0 Hz	0 W	4,1E2 mbar	1,3E2 mbar
2022-04-20, 14:59:34	0 Hz	0 W	2,9E2 mbar	1E2 mbar
2022-04-20, 14:59:36	0 Hz	0 W	1,9E2 mbar	9E1 mbar
2022-04-20, 14:59:38	0 Hz	0 W	1,6E2 mbar	7,7E1 mbar
2022-04-20, 14:59:40	0 Hz	0 W	1,1E2 mbar	6,5E1 mbar
2022-04-20, 14:59:42	0 Hz	0 W	9,1E1 mbar	5,9E1 mbar
2022-04-20, 14:59:44	0 Hz	0 W	8E1 mbar	5,1E1 mbar
2022-04-20, 14:59:46	0 Hz	0 W	6,5E1 mbar	4,3E1 mbar
2022-04-20, 14:59:48	0 Hz	0 W	5,6E1 mbar	3,8E1 mbar
2022-04-20, 14:59:50	0 Hz	0 W	4,6E1 mbar	3,5E1 mbar
2022-04-20, 14:59:52	0 Hz	0 W	3,9E1 mbar	3,2E1 mbar
2022-04-20, 14:59:54	0 Hz	0 W	3,6E1 mbar	2,8E1 mbar
2022-04-20, 14:59:56	0 Hz	0 W	3,2E1 mbar	2,5E1 mbar
2022-04-20, 14:59:58	0 Hz	0 W	3E1 mbar	2,1E1 mbar
2022-04-20, 15:00:00	0 Hz	0 W	2,5E1 mbar	1,9E1 mbar
2022-04-20, 15:00:02	0 Hz	0 W	2,1E1 mbar	1,7E1 mbar
2022-04-20, 15:00:04	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2022-04-20, 15:00:06	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2022-04-20, 15:00:08	0 Hz	0 W	1,6E1 mbar	1,3E1 mbar
2022-04-20, 15:00:10	0 Hz	0 W	1,4E1 mbar	1,2E1 mbar
2022-04-20, 15:00:12	0 Hz	0 W	1,3E1 mbar	1E1 mbar
2022-04-20, 15:00:14	0 Hz	0 W	1,2E1 mbar	9,7E0 mbar
2022-04-20, 15:00:16	0 Hz	0 W	1E1 mbar	9,1E0 mbar
2022-04-20, 15:00:18	0 Hz	0 W	9,8E0 mbar	8,7E0 mbar
2022-04-20, 15:00:20	0 Hz	0 W	9,4E0 mbar	8,1E0 mbar
2022-04-20, 15:00:22	0 Hz	0 W	8,8E0 mbar	7,7E0 mbar
2022-04-20, 15:00:24	0 Hz	0 W	8,3E0 mbar	7,2E0 mbar
2022-04-20, 15:00:26	0 Hz	0 W	7,9E0 mbar	6,8E0 mbar
2022-04-20, 15:00:28	0 Hz	0 W	7,5E0 mbar	6,7E0 mbar
2022-04-20, 15:00:30	0 Hz	0 W	7E0 mbar	6,4E0 mbar
2022-04-20, 15:00:32	0 Hz	0 W	6,8E0 mbar	6,3E0 mbar
2022-04-20, 15:00:34	0 Hz	0 W	6,7E0 mbar	6,1E0 mbar
2022-04-20, 15:00:36	0 Hz	0 W	6,5E0 mbar	5,9E0 mbar
2022-04-20, 15:00:38	0 Hz	0 W	6,3E0 mbar	5,8E0 mbar
2022-04-20, 15:00:40	0 Hz	0 W	6,1E0 mbar	5,6E0 mbar
