time	Freq	W	B2	B1
2022-04-20, 15:12:38	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-20, 15:12:40	0 Hz	0 W	4,1E0 mbar	3,7E0 mbar
2022-04-20, 15:12:42	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 15:12:44	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 15:12:46	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 15:12:48	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-20, 15:12:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 15:12:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 15:12:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 15:12:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 15:12:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-20, 15:13:00	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:02	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:04	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:06	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:08	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:10	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:12	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:14	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-20, 15:13:16	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:18	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:20	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:22	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:24	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:26	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:28	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:30	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:32	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:34	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:36	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2022-04-20, 15:13:38	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2022-04-20, 15:13:40	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2022-04-20, 15:13:42	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2022-04-20, 15:13:44	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2022-04-20, 15:13:46	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2022-04-20, 15:13:48	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2022-04-20, 15:13:50	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
