V_ks(V),V_a(mV)
0.085,0
0.503,0
0.966,0
1.521,0.36
2.009,25.22
2.207,41.70
2.434,45.82
2.546,48.16
2.571,44.07
2.605,43.98
2.797,40.10
2.976,39.22
3.534,33.03
4.023,30.30
4.560,28.11
4.996,26.65
5.497,25.30
5.995,24.36
6.504,23.72
6.998,23.38
7.502,23.35
8.053,23.61
8.542,24.42
9.000,25.17
9.518,25.35
10.000,26.67
11.087,33.69
