t (s),V (mV)
265.148,14.5782
266.148,14.563
267.148,14.5486
268.147,14.533
269.147,14.5114
270.148,14.5013
271.15,14.4895
272.148,14.4728
273.148,14.4578
274.147,14.442
275.148,14.4277
276.148,14.4126
277.148,14.3973
278.147,14.3835
279.148,14.3685
280.147,14.3535
281.147,14.3117
282.148,14.3121
283.148,14.3095
284.148,14.2979
285.147,14.2858
286.148,14.2709
287.148,14.257
288.148,14.2431
289.147,14.2293
290.147,14.2155
291.148,14.2013
292.148,14.1872
293.147,14.1738
294.148,14.1585
295.148,14.1446
296.147,14.1317
297.147,14.1178
298.148,14.103
299.148,14.089
300.148,14.0758
301.147,14.0618
302.147,14.0467
303.148,14.033
304.148,14.0185
305.147,14.0053
306.147,13.9906
307.147,13.9765
308.147,13.9627
309.148,13.9481
310.148,13.934
311.148,13.9205
312.147,13.9063
313.147,13.8923
314.147,13.879
315.148,13.8609
316.148,13.8511
317.148,13.8395
318.147,13.8266
319.148,13.8119
320.148,13.7984
321.147,13.785
322.148,13.7709
323.148,13.757
324.148,13.7433
325.148,13.7287
326.148,13.7157
327.147,13.7021
328.147,13.6875
329.147,13.6745
330.148,13.6603
331.148,13.647
332.15,13.6308
333.148,13.6203
334.148,13.608
335.148,13.5932
336.148,13.581
337.148,13.5686
338.148,13.5549
339.147,13.5418
340.148,13.5279
341.148,13.5149
342.148,13.5029
343.147,13.4889
344.147,13.4755
345.148,13.4621
346.148,13.4493
347.147,13.4358
348.147,13.4228
349.148,13.4093
350.148,13.3965
351.148,13.3833
352.148,13.37
353.148,13.3573
354.147,13.3445
355.147,13.3313
356.148,13.3179
357.148,13.3054
358.148,13.2929
359.148,13.2801
360.148,13.2668
361.147,13.254
362.147,13.2412
363.148,13.2281
364.148,13.1792
365.148,13.1769
366.148,13.1834
367.148,13.1757
368.147,13.1641
369.147,13.1516
370.147,13.1378
371.148,13.1252
372.148,13.1121
373.148,13.0989
374.148,13.0862
375.148,13.073
376.148,13.0598
377.148,13.0478
378.148,12.9939
379.147,12.955
380.147,12.9573
381.147,12.9659
382.147,12.9634
383.147,12.96
384.148,12.956
385.148,12.9425
386.148,12.9114
387.148,12.8968
388.148,12.8937
389.148,12.8818
390.148,12.8648
391.148,12.8511
392.147,12.8474
393.148,12.8423
394.148,12.8311
395.148,12.8192
396.147,12.8056
397.147,12.7834
398.147,12.7646
399.147,12.7639
400.147,12.7304
401.148,12.7102
402.148,12.7012
403.148,12.6653
404.148,12.6562
405.148,12.6451
406.148,12.6409
407.148,12.6361
408.148,12.6211
409.148,12.6058
410.147,12.5944
411.147,12.5853
412.147,12.5741
413.148,12.5609
414.148,12.5488
415.148,12.5357
416.148,12.5224
417.148,12.5098
418.148,12.4963
419.148,12.483
420.148,12.47
421.148,12.4571
422.148,12.4444
423.148,12.4312
424.148,12.3986
425.148,12.3884
426.148,12.3679
427.148,12.3468
428.148,12.3492
429.148,12.3417
430.148,12.3367
431.148,12.3301
432.148,12.3177
433.147,12.3053
434.147,12.2928
435.147,12.28
436.148,12.266
437.148,12.2541
438.148,12.2427
439.148,12.2299
440.148,12.2184
441.148,12.2062
442.148,12.193
443.148,12.182
444.148,12.1677
445.148,12.1549
446.148,12.1427
447.148,12.1289
448.147,12.1172
449.148,12.1041
450.148,12.0924
451.148,12.0793
452.148,12.0671
453.148,12.055
454.15,12.0437
455.148,12.0313
456.147,12.0184
457.147,12.0058
458.148,11.994
459.148,11.9826
460.148,11.9721
461.148,11.9582
462.148,11.9347
463.148,11.9256
464.148,11.9202
465.148,11.9104
466.148,11.8998
467.147,11.8868
468.147,11.8733
469.147,11.8621
470.148,11.8523
471.148,11.8385
472.148,11.8257
473.148,11.8122
474.147,11.8023
475.148,11.7882
476.148,11.7776
477.148,11.765
478.148,11.756
479.148,11.7404
480.148,11.7227
481.148,11.7137
482.147,11.702
483.147,11.6919
484.147,11.6795
485.147,11.6698
486.147,11.6599
487.148,11.6445
488.148,11.6305
489.148,11.6181
490.148,11.6064
491.148,11.5945
492.148,11.582
493.148,11.5718
494.148,11.5604
495.148,11.5515
496.147,11.5399
497.148,11.5277
498.148,11.515
499.148,11.5031
500.147,11.4912
501.148,11.4796
502.148,11.4681
503.148,11.4562
504.148,11.447
505.148,11.435
506.148,11.4228
507.148,11.4111
508.148,11.405
509.148,11.3937
510.148,11.3794
511.148,11.3673
512.147,11.3529
513.148,11.3462
514.148,11.3359
515.15,11.323
516.148,11.3093
517.148,11.3021
518.148,11.293
519.148,11.2834
520.148,11.2654
521.148,11.2577
522.148,11.2451
523.147,11.2304
524.147,11.2175
525.148,11.2057
526.148,11.1945
527.148,11.184
528.148,11.1758
529.148,11.163
530.148,11.1515
531.148,11.1457
532.148,11.1387
533.148,11.1159
534.148,11.11
535.148,11.0987
536.147,11.0865
537.147,11.0757
538.148,11.0715
539.148,11.0557
540.148,11.042
541.148,11.0296
542.148,11.019
543.148,11.007
544.148,10.9972
545.147,10.9919
546.147,10.977
547.148,10.9644
548.148,10.9529
549.148,10.9404
550.148,10.9257
551.148,10.9163
552.148,10.9086
553.148,10.8995
554.147,10.8903
555.148,10.8777
556.148,10.8658
557.148,10.8544
558.148,10.8428
559.148,10.8321
560.148,10.8212
561.148,10.8106
562.147,10.7995
563.148,10.788
564.148,10.7773
565.148,10.7655
566.148,10.7555
567.148,10.744
568.148,10.7333
569.148,10.7219
570.147,10.7199
571.147,10.7064
572.147,10.6948
573.148,10.6835
574.148,10.673
575.148,10.6567
576.148,10.6564
577.148,10.6453
578.147,10.6257
579.147,10.6143
580.147,10.6002
581.147,10.596
582.147,10.5851
583.147,10.577
584.147,10.5696
585.147,10.551
586.146,10.5412
587.147,10.5312
588.147,10.5176
589.147,10.5035
590.146,10.4918
591.146,10.4826
592.147,10.4723
593.147,10.4616
594.147,10.4572
595.147,10.4479
596.147,10.4341
597.146,10.4222
598.146,10.4101
599.146,10.3975
600.146,10.3888
601.147,10.3839
602.146,10.3716
603.147,10.3588
604.147,10.3505
605.146,10.3456
606.146,10.3335
607.147,10.3211
608.147,10.3132
609.147,10.3012
610.147,10.2876
611.146,10.2844
612.146,10.2733
613.147,10.2595
614.147,10.2477
615.146,10.2405
616.146,10.2327
617.147,10.2268
618.147,10.2139
619.146,10.2026
620.146,10.1943
621.146,10.1814
622.147,10.1646
623.147,10.1539
624.147,10.1429
625.147,10.1303
626.146,10.1284
627.146,10.1216
628.147,10.1038
629.147,10.0903
630.146,10.0846
631.147,10.0799
632.147,10.0727
633.146,10.0654
634.147,10.0515
635.147,10.0411
636.147,10.0247
637.147,10.0123
638.146,10.0036
639.147,9.9958
640.147,9.9853
