t (s),V (mV)
0,19.1573
1.049,19.1428
2.1,19.1369
3.147,19.1187
4.148,19.1046
5.147,19.0907
6.148,19.0747
7.148,19.0593
8.147,19.0417
9.148,19.0244
10.147,19.0074
11.148,18.9897
12.148,18.9708
13.147,18.9532
14.148,18.9346
15.148,18.9153
16.147,18.8969
17.148,18.8774
18.147,18.8592
19.148,18.8394
20.147,18.8205
21.148,18.8012
22.148,18.7805
23.148,18.7612
24.147,18.742
25.148,18.7215
26.147,18.7025
27.148,18.6825
28.147,18.6646
29.148,18.6442
30.148,18.6238
31.147,18.6044
32.148,18.5838
33.148,18.5646
34.148,18.5443
35.147,18.5246
36.148,18.5039
37.147,18.4851
38.148,18.4651
39.148,18.4453
40.148,18.4252
41.148,18.4058
42.148,18.386
43.148,18.3659
44.147,18.3469
45.148,18.3268
46.147,18.3065
47.148,18.2861
48.147,18.2662
49.148,18.2459
50.147,18.2264
51.148,18.2021
52.148,18.1812
53.147,18.1613
54.148,18.1408
55.147,18.1221
56.148,18.101
57.147,18.081
58.148,18.0618
59.147,18.043
60.148,18.023
61.148,18.0035
62.148,17.984
63.148,17.9638
64.147,17.9447
65.148,17.9252
66.147,17.9063
67.148,17.8862
68.148,17.8673
69.148,17.8482
70.148,17.8301
71.148,17.8098
72.148,17.791
73.147,17.772
74.148,17.753
75.147,17.7335
76.148,17.7144
77.148,17.6952
78.148,17.6771
79.148,17.6544
80.147,17.6384
81.148,17.6209
82.148,17.6033
83.147,17.5841
84.148,17.5649
85.147,17.5467
86.148,17.5269
87.147,17.5087
88.148,17.4906
89.147,17.4728
90.148,17.4537
91.147,17.4357
92.148,17.4174
93.148,17.3981
94.147,17.3804
95.148,17.3621
96.147,17.3443
97.148,17.3258
98.148,17.3078
99.147,17.2902
100.148,17.272
101.148,17.2537
102.147,17.236
103.148,17.2169
104.148,17.1995
105.147,17.1807
106.148,17.163
107.148,17.1449
108.148,17.1267
109.147,17.1089
110.148,17.0902
111.147,17.0722
112.148,17.0537
113.148,17.0352
114.147,17.0182
115.148,17
116.147,16.9823
117.148,16.9637
118.148,16.9464
119.147,16.9283
120.148,16.9102
121.148,16.892
122.148,16.875
123.147,16.8575
124.148,16.8393
125.148,16.8222
126.148,16.8042
127.148,16.7873
128.147,16.77
129.148,16.7524
130.147,16.7347
131.148,16.7173
132.148,16.7002
133.147,16.6826
134.148,16.6652
135.147,16.6486
136.148,16.6305
137.148,16.6131
138.148,16.5957
139.148,16.5783
140.147,16.5612
141.148,16.5437
142.147,16.5273
143.148,16.5095
144.148,16.4932
145.147,16.4758
146.148,16.4585
147.148,16.4417
148.148,16.4236
149.148,16.4067
150.148,16.3891
151.148,16.3725
152.147,16.3543
153.148,16.3377
154.148,16.3203
155.147,16.304
156.148,16.2864
157.148,16.2701
158.148,16.2522
159.147,16.2384
160.148,16.2196
161.148,16.2035
162.147,16.1873
163.148,16.1707
164.148,16.1544
165.148,16.1373
166.148,16.1215
167.147,16.1053
168.148,16.0879
169.147,16.0716
170.148,16.0547
171.148,16.0376
172.147,16.021
173.148,16.0039
174.147,15.9871
175.148,15.9716
176.148,15.9539
177.147,15.9373
178.148,15.9203
179.147,15.9037
180.148,15.8876
181.148,15.8711
182.147,15.8539
183.148,15.8373
184.148,15.8206
185.148,15.804
186.148,15.7874
187.148,15.7709
188.147,15.754
189.148,15.7376
190.148,15.7219
191.147,15.7061
192.148,15.6893
193.148,15.6737
194.147,15.6581
195.148,15.6412
196.147,15.6254
197.148,15.6097
198.148,15.5937
199.147,15.5777
200.148,15.5571
201.148,15.5387
202.148,15.522
203.148,15.5073
204.148,15.4909
205.147,15.4747
206.148,15.4598
207.148,15.4471
208.148,15.4327
209.148,15.4169
210.15,15.4003
211.147,15.3853
212.148,15.3691
213.148,15.3542
214.148,15.3394
215.147,15.3235
216.148,15.3083
217.147,15.2927
218.148,15.2757
219.148,15.2607
220.147,15.2441
221.148,15.2285
222.148,15.2105
223.147,15.1955
224.148,15.1797
225.148,15.1626
226.147,15.1457
227.148,15.1318
228.148,15.1147
229.147,15.1019
230.148,15.0851
231.147,15.0697
232.148,15.0549
233.148,15.041
234.147,15.026
235.148,15.0116
236.148,14.9948
237.148,14.9805
238.147,14.9663
239.148,14.9521
240.147,14.9364
241.147,14.9219
242.148,14.9065
243.147,14.8922
244.147,14.8775
245.148,14.8633
246.148,14.8486
247.147,14.8329
248.147,14.819
249.147,14.804
250.148,14.7899
251.148,14.7757
252.148,14.7618
253.148,14.7488
254.148,14.7342
255.147,14.7202
256.148,14.7048
257.147,14.6913
258.147,14.677
259.148,14.6617
260.148,14.6459
261.148,14.6299
262.147,14.6203
263.147,14.607
264.148,14.5928
