t (s),V (mV)
0,20.6748
1.05,20.6636
2.084,20.6273
3.084,20.5894
4.083,20.5482
5.084,20.5065
6.083,20.4631
7.084,20.4203
8.084,20.3752
9.084,20.3292
10.083,20.2833
11.084,20.2365
12.084,20.1896
13.083,20.1426
14.084,20.0953
15.084,20.047
16.084,20.0001
17.084,19.9516
18.084,19.9033
19.084,19.856
20.084,19.8079
21.084,19.7592
22.084,19.7113
23.084,19.6639
24.084,19.6168
25.084,19.5687
26.084,19.522
27.083,19.4743
28.084,19.4269
29.084,19.38
30.084,19.3319
31.084,19.2847
32.084,19.2368
33.084,19.1905
34.083,19.1425
35.084,19.0957
36.084,19.0487
37.084,19.0024
38.083,18.9549
39.084,18.9087
40.083,18.8621
41.084,18.8153
42.084,18.7689
43.083,18.7222
44.084,18.6765
45.084,18.6308
46.084,18.5838
47.086,18.5401
48.083,18.493
49.084,18.447
50.084,18.4021
51.083,18.3566
52.084,18.3113
53.084,18.2669
54.084,18.2217
55.084,18.1777
56.083,18.1319
57.084,18.0874
58.084,18.0433
59.084,17.9989
60.084,17.9554
61.083,17.9117
62.084,17.8679
63.083,17.8236
64.084,17.7804
65.084,17.7374
66.084,17.6939
67.084,17.651
68.084,17.6078
69.084,17.5619
70.083,17.5195
71.084,17.4758
72.083,17.434
73.084,17.391
74.084,17.3491
75.084,17.3071
76.084,17.2648
77.083,17.2226
78.084,17.1802
79.083,17.139
80.084,17.0969
81.084,17.0555
82.084,17.0138
83.084,16.9729
84.084,16.9317
85.084,16.8905
86.083,16.8495
87.084,16.8085
88.084,16.7684
89.084,16.7272
90.083,16.6861
91.084,16.6455
92.084,16.6045
93.084,16.5646
94.084,16.5245
95.084,16.4845
96.083,16.4444
97.084,16.4045
98.083,16.3655
99.083,16.3262
100.084,16.2862
101.083,16.2473
102.084,16.2084
103.084,16.1689
104.083,16.1304
105.084,16.0912
106.083,16.0529
107.084,16.0144
108.084,15.9763
109.083,15.9384
110.084,15.9001
111.083,15.8614
112.084,15.8233
113.083,15.7854
114.084,15.7502
115.083,15.7136
116.084,15.6746
117.083,15.6376
118.084,15.6002
119.084,15.5629
120.084,15.5251
121.084,15.4881
122.083,15.4514
123.084,15.4138
124.084,15.3775
125.083,15.3412
126.084,15.3045
127.083,15.2672
128.084,15.2311
129.084,15.1951
130.084,15.1592
131.083,15.1227
132.084,15.0862
133.083,15.0505
134.083,15.0147
135.084,14.9784
136.084,14.9428
137.084,14.9067
138.083,14.8713
139.084,14.8362
140.084,14.8003
141.083,14.75
142.084,14.7263
143.084,14.6945
144.083,14.6599
145.084,14.6248
146.084,14.59
147.083,14.5547
148.083,14.5204
149.084,14.4853
150.084,14.4503
151.083,14.416
152.084,14.3818
153.084,14.3463
154.083,14.3119
155.084,14.2786
156.084,14.2447
157.084,14.2103
158.083,14.1763
159.084,14.1429
160.084,14.1097
161.083,14.0755
162.084,14.0426
163.084,14.0086
164.083,13.9504
165.084,13.9144
166.083,13.8797
167.083,13.8459
168.084,13.8135
169.086,13.7806
170.084,13.7447
171.083,13.7119
172.084,13.6784
173.083,13.6445
174.084,13.6108
175.084,13.577
176.083,13.543
177.084,13.5094
178.084,13.4775
179.084,13.4444
180.084,13.4113
181.083,13.3777
182.084,13.3448
183.084,13.3127
184.084,13.2802
185.084,13.2482
186.084,13.2144
187.084,13.1827
188.083,13.15
189.084,13.1175
190.084,13.0837
191.084,13.0545
192.084,13.0242
193.084,12.9914
194.084,12.9612
195.084,12.9307
196.083,12.8994
197.084,12.8714
198.084,12.8377
199.084,12.8057
200.084,12.7751
201.083,12.7416
202.084,12.7108
203.083,12.6807
204.084,12.6559
205.083,12.6232
206.084,12.5919
207.083,12.5585
208.084,12.5279
209.084,12.4984
210.084,12.4683
211.084,12.4373
212.084,12.4071
213.084,12.3765
214.084,12.3508
215.084,12.321
216.084,12.2885
217.084,12.2595
218.084,12.2296
219.084,12.1988
220.084,12.169
221.083,12.1385
222.084,12.1098
223.084,12.08
224.084,12.0506
225.084,12.0214
226.083,11.9935
227.084,11.9653
228.084,11.9364
229.084,11.9066
230.084,11.8783
231.083,11.8499
232.084,11.8209
233.084,11.7926
234.084,11.7637
235.084,11.7352
236.083,11.707
237.084,11.6824
238.083,11.6506
239.084,11.6219
240.084,11.5934
241.084,11.566
242.084,11.5382
243.083,11.5112
244.084,11.4835
245.083,11.4541
246.084,11.4262
247.084,11.3991
248.083,11.3721
249.084,11.3449
250.083,11.3179
251.084,11.2901
252.083,11.2635
253.084,11.2377
254.084,11.2109
255.084,11.1832
256.084,11.1579
257.084,11.1303
258.083,11.1039
259.084,11.078
260.084,11.0515
261.083,11.0269
262.084,11
263.084,10.9718
264.083,10.9456
265.084,10.9194
266.084,10.8929
267.083,10.8672
268.084,10.8415
269.084,10.8154
270.084,10.7895
271.084,10.7638
272.083,10.7381
273.084,10.7122
274.084,10.6863
275.083,10.6607
276.084,10.6351
277.083,10.6096
278.083,10.5837
279.083,10.5582
280.082,10.5329
281.083,10.5082
282.082,10.4833
283.083,10.4577
284.083,10.4322
285.082,10.4066
286.083,10.3825
287.083,10.3572
288.082,10.3339
289.083,10.3105
290.083,10.2839
291.085,10.2576
292.082,10.234
293.083,10.2092
294.082,10.1847
295.083,10.1716
296.083,10.1544
297.082,10.1204
298.083,10.0887
299.082,10.0694
300.082,10.0408
301.082,10.0146
302.084,9.9904
303.084,9.9653
